@timestamp,system.cpu.user.pct,system.cpu.system.pct,system.cpu.idle.pct,system.cpu.iowait.pct,system.cpu.softirq.pct,system.cpu.total.pct
2018-01-01 00:00:00,0.2637,0.1017,3.5803,0.0332,0.0211,0.4197
2018-01-01 00:00:10,0.2564,0.0962,3.5733,0.0481,0.026,0.4267
2018-01-01 00:00:20,0.2669,0.1004,3.5615,0.0472,0.0241,0.4385
2018-01-01 00:00:30,0.2586,0.0905,3.5875,0.0392,0.0241,0.4125
2018-01-01 00:00:40,0.2263,0.0915,3.6218,0.0352,0.0251,0.3782
2018-01-01 00:00:50,0.2787,0.0956,3.5673,0.0352,0.0231,0.4327
2018-01-01 00:01:00,0.2387,0.1048,3.6011,0.0272,0.0282,0.3989
2018-01-01 00:01:10,0.2466,0.0815,3.6085,0.0413,0.0221,0.3915
2018-01-01 00:01:20,0.2705,0.1042,3.5641,0.0421,0.019,0.4359
2018-01-01 00:01:30,0.2482,0.1071,3.5847,0.036,0.024,0.4153
2018-01-01 00:01:40,0.2365,0.0835,3.6165,0.0413,0.0221,0.3835
2018-01-01 00:01:50,0.2731,0.1165,3.5382,0.0512,0.0211,0.4618
2018-01-01 00:02:00,0.2645,0.1016,3.5686,0.0362,0.0292,0.4314
2018-01-01 00:02:10,0.2281,0.0874,3.6292,0.0322,0.0231,0.3708
2018-01-01 00:02:20,0.2703,0.0995,3.5659,0.0402,0.0241,0.4341
2018-01-01 00:02:30,0.23,0.0878,3.6187,0.0363,0.0272,0.3813
2018-01-01 00:02:40,0.259,0.0783,3.5984,0.0392,0.0251,0.4016
2018-01-01 00:02:50,0.2669,0.1064,3.5635,0.0391,0.0241,0.4365
2018-01-01 00:03:00,0.2623,0.0995,3.5739,0.0382,0.0261,0.4261
2018-01-01 00:03:10,0.2264,0.0819,3.6443,0.0263,0.0212,0.3557
2018-01-01 00:03:20,0.2839,0.0876,3.5117,0.0916,0.0252,0.4883
2018-01-01 00:03:30,0.2407,0.0896,3.582,0.0655,0.0222,0.418
2018-01-01 00:03:40,0.2536,0.0912,3.585,0.0461,0.0241,0.415
2018-01-01 00:03:50,0.2512,0.1029,3.5854,0.0404,0.0202,0.4146
2018-01-01 00:04:00,0.2694,0.0945,3.5667,0.0472,0.0221,0.4333
2018-01-01 00:04:10,0.2369,0.0887,3.6109,0.0433,0.0202,0.3891
2018-01-01 00:04:20,0.2739,0.1043,3.5576,0.0371,0.0271,0.4424
2018-01-01 00:04:30,0.2511,0.0877,3.5845,0.0555,0.0212,0.4155
2018-01-01 00:04:40,0.2277,0.0937,3.5961,0.0554,0.0272,0.4039
2018-01-01 00:04:50,0.265,0.0812,3.5827,0.0497,0.0213,0.4173
2018-01-01 00:05:00,0.3114,0.0937,3.5566,0.0191,0.0191,0.4434
2018-01-01 00:05:10,0.2554,0.0865,3.5576,0.0774,0.0231,0.4424
2018-01-01 00:05:20,0.2923,0.0981,3.5495,0.034,0.026,0.4505
2018-01-01 00:05:30,0.2752,0.0974,3.5721,0.0342,0.0211,0.4279
2018-01-01 00:05:40,0.2341,0.0841,3.6098,0.0466,0.0253,0.3902
2018-01-01 00:05:50,0.2892,0.1034,3.5029,0.0803,0.0241,0.4971
2018-01-01 00:06:00,0.2349,0.1043,3.598,0.0425,0.0203,0.402
2018-01-01 00:06:10,0.2879,0.0853,3.5547,0.0481,0.0241,0.4453
2018-01-01 00:06:20,0.3148,0.1009,3.5015,0.0565,0.0262,0.4985
2018-01-01 00:06:30,0.4556,0.0927,3.4032,0.0232,0.0252,0.5968
2018-01-01 00:06:40,0.4762,0.0666,3.4189,0.0161,0.0222,0.5811
