@timestamp,system.diskio.iostat.await,system.diskio.iostat.queue.avg_size,system.diskio.iostat.read.per_sec.bytes,system.diskio.iostat.write.per_sec.bytes
2018-01-01 00:00:00,10.621,0.021,4356,25129
2018-01-01 00:01:00,6.44,0.017,1877,64751
2018-01-01 00:02:00,8.378,0.021,6510,73487
2018-01-01 00:03:00,14.505,0.076,14495,150390
2018-01-01 00:04:00,11.365,0.032,7724,51648
2018-01-01 00:05:00,11.121,0.025,9418,75949
2018-01-01 00:06:00,8.787,0.036,5838,81399
2018-01-01 00:07:00,16.2,0.022,3490,94358
2018-01-01 00:08:00,6.206,0.014,3285,46789
2018-01-01 00:09:00,10.647,0.025,7374,73541
2018-01-01 00:10:00,11.355,0.029,17332,73810
2018-01-01 00:11:00,11.542,0.037,8561,103532
2018-01-01 00:12:00,13.047,0.056,9174,57523
2018-01-01 00:13:00,22.871,0.033,3214,93732
2018-01-01 00:14:00,7.186,0.014,2612,45142
2018-01-01 00:15:00,13.727,0.061,13880,66046
2018-01-01 00:16:00,10.286,0.011,7576,22459
2018-01-01 00:17:00,8.623,0.018,3483,61757
2018-01-01 00:18:00,15.777,0.047,9061,104501
2018-01-01 00:19:00,9.478,0.015,6905,46793
2018-01-01 00:20:00,9.153,0.059,49515,177986
2018-01-01 00:21:00,19.614,0.027,11364,37320
2018-01-01 00:22:00,8.057,0.029,14859,80548
2018-01-01 00:23:00,24.957,0.049,13116,71672
2018-01-01 00:24:00,14.33,0.025,8982,70649
2018-01-01 00:25:00,28.159,0.071,10387,99979
2018-01-01 00:26:00,43.548,0.161,5627,59148
2018-01-01 00:27:00,15.023,0.022,9199,96823
2018-01-01 00:28:00,9.147,0.02,4825,45770
2018-01-01 00:29:00,10.914,0.026,4483,99494
2018-01-01 00:30:00,7.429,0.017,3553,47463
2018-01-01 00:31:00,7.579,0.014,5638,42757
2018-01-01 00:32:00,10.256,0.023,5114,72064
2018-01-01 00:33:00,5.969,0.013,8856,44144
2018-01-01 00:34:00,10.407,0.021,8727,94986
2018-01-01 00:35:00,13.333,0.05,33586,47664
2018-01-01 00:36:00,13.74,0.06,11073,110930
2018-01-01 00:37:00,10.615,0.014,5349,68536
2018-01-01 00:38:00,17.865,0.049,2621,50273
2018-01-01 00:39:00,6.757,0.012,2080,97689
2018-01-01 00:40:00,41.458,0.067,1544,41902
2018-01-01 00:41:00,7.262,0.02,3217,103611
2018-01-01 00:42:00,19.658,0.05,6101,48408
2018-01-01 00:43:00,30.514,0.09,3361,79929
2018-01-01 00:44:00,11.87,0.018,8044,71259
2018-01-01 00:45:00,13.66,0.043,5094,79290
2018-01-01 00:46:00,9.443,0.019,22040,61296
2018-01-01 00:47:00,23.913,0.092,9123,45814
2018-01-01 00:48:00,6.013,0.016,5038,59645
2018-01-01 00:49:00,11.375,0.012,6514,64062
2018-01-01 00:50:00,9.886,0.02,8244,74799
2018-01-01 00:51:00,11.166,0.03,4017,73570
2018-01-01 00:52:00,64.5,0.138,4496,73609
2018-01-01 00:53:00,6.597,0.015,5295,96515
2018-01-01 00:54:00,7.014,0.017,7037,50331
2018-01-01 00:55:00,29.516,0.076,0,75931
2018-01-01 00:56:00,7.5,0.017,4964,77015
2018-01-01 00:57:00,11.76,0.03,4769,97792
2018-01-01 00:58:00,5.369,0.017,4170,83878
2018-01-01 00:59:00,8.293,0.011,6640,42252
2018-01-01 01:00:00,11.396,0.071,49260,110566
2018-01-01 01:01:00,10.325,0.02,2817,70358
2018-01-01 01:02:00,5.774,0.013,3423,42483
2018-01-01 01:03:00,9.091,0.008,3826,21481
2018-01-01 01:04:00,8.188,0.026,1950,94932
2018-01-01 01:05:00,9.848,0.028,5098,78746
2018-01-01 01:06:00,10.982,0.01,1472,40000
2018-01-01 01:07:00,14.42,0.039,0,108420
2018-01-01 01:08:00,6.051,0.016,3413,75142
2018-01-01 01:09:00,10,0.008,1407,36188
2018-01-01 01:10:00,16.766,0.04,2219,74500
2018-01-01 01:11:00,23.634,0.056,1206,76372
2018-01-01 01:12:00,10.816,0.028,1341,104392
2018-01-01 01:13:00,9.118,0.021,7503,45353
2018-01-01 01:14:00,6.151,0.011,0,72230
2018-01-01 01:15:00,9.764,0.021,8308,96750
2018-01-01 01:16:00,7.175,0.015,1681,47193
2018-01-01 01:17:00,10.207,0.02,0,69177
2018-01-01 01:18:00,4.033,0.008,1005,53155
2018-01-01 01:19:00,9.626,0.03,1139,72943
2018-01-01 01:20:00,11.234,0.018,5698,39413
2018-01-01 01:21:00,8.48,0.021,2943,74849
