@timestamp,system.network.in.bytes,system.network.in.packets,system.network.in.dropped,system.network.out.bytes,system.network.out.packets,system.network.out.errors
2018-01-01 00:00:00,4000000,8813,0,4000000,8882,7
2018-01-01 00:00:10,4000000,7814,0,4000000,8262,10
2018-01-01 00:00:20,5000000,7939,1,4000000,7480,17
2018-01-01 00:00:30,5000000,7305,2,5000000,7613,14
2018-01-01 00:00:40,4000000,7173,1,4000000,7368,14
2018-01-01 00:00:50,5000000,6859,0,4000000,6877,19
2018-01-01 00:01:00,4000000,6988,0,4000000,7386,21
2018-01-01 00:01:10,5000000,6806,0,5000000,7607,19
2018-01-01 00:01:20,4000000,6839,1,4000000,6911,19
2018-01-01 00:01:30,4000000,6830,2,4000000,6880,19
2018-01-01 00:01:40,5000000,7207,1,4000000,7025,16
2018-01-01 00:01:50,4000000,6968,0,4000000,6974,13
2018-01-01 00:02:00,5000000,7074,0,4000000,7228,16
2018-01-01 00:02:10,4000000,7058,2,5000000,7115,15
2018-01-01 00:02:20,5000000,6754,0,4000000,7028,21
2018-01-01 00:02:30,4000000,7016,2,4000000,6943,13
2018-01-01 00:02:40,4000000,7072,1,4000000,7575,18
2018-01-01 00:02:50,5000000,7050,0,4000000,7323,14
2018-01-01 00:03:00,4000000,7543,2,5000000,7814,13
2018-01-01 00:03:10,5000000,6969,0,4000000,6717,19
2018-01-01 00:03:20,4000000,7071,0,3000000,7119,12
2018-01-01 00:03:30,4000000,7491,2,5000000,7956,14
2018-01-01 00:03:40,5000000,6970,0,4000000,6946,16
2018-01-01 00:03:50,4000000,7078,0,3000000,7209,13
2018-01-01 00:04:00,5000000,7284,2,5000000,7572,12
2018-01-01 00:04:10,4000000,6918,0,4000000,7243,16
2018-01-01 00:04:20,5000000,7292,0,4000000,7492,13
2018-01-01 00:04:30,4000000,7128,3,5000000,7233,19
2018-01-01 00:04:40,5000000,6408,0,4000000,6688,19
2018-01-01 00:04:50,4000000,7312,1,4000000,7272,15
2018-01-01 00:05:00,4000000,6666,1,4000000,6990,18
2018-01-01 00:05:10,5000000,7078,0,4000000,6973,13
2018-01-01 00:05:20,5000000,6957,0,4000000,6785,15
2018-01-01 00:05:30,4000000,7105,3,5000000,7628,13
2018-01-01 00:05:40,5000000,6844,0,4000000,7348,16
2018-01-01 00:05:50,4000000,7134,2,4000000,7165,15
2018-01-01 00:06:00,4000000,7106,0,5000000,7275,15
2018-01-01 00:06:10,5000000,7246,0,4000000,7187,14
2018-01-01 00:06:20,4000000,7771,1,4000000,8143,16
2018-01-01 00:06:30,5000000,6902,0,5000000,7355,14
2018-01-01 00:06:40,4000000,7365,3,4000000,7319,14
2018-01-01 00:06:50,4000000,6591,1,4000000,6844,17
2018-01-01 00:07:00,5000000,6990,0,4000000,6913,16
2018-01-01 00:07:10,4000000,7022,0,3000000,6957,9
2018-01-01 00:07:20,5000000,7477,1,5000000,7929,17
2018-01-01 00:07:30,4000000,6901,0,4000000,7156,16
2018-01-01 00:07:40,4000000,7273,2,4000000,7103,13
2018-01-01 00:07:50,5000000,6728,2,4000000,7066,18
2018-01-01 00:08:00,4000000,6923,0,4000000,7016,14
2018-01-01 00:08:10,5000000,7317,0,5000000,7654,12
2018-01-01 00:08:20,4000000,6764,1,4000000,6856,12
2018-01-01 00:08:30,5000000,6756,2,4000000,6823,17
2018-01-01 00:08:40,4000000,6773,2,4000000,7331,19
2018-01-01 00:08:50,4000000,6878,0,4000000,7065,14
2018-01-01 00:09:00,5000000,6993,0,5000000,7161,18
2018-01-01 00:09:10,4000000,6656,1,4000000,6815,17
2018-01-01 00:09:20,5000000,6741,0,4000000,6802,18
2018-01-01 00:09:30,4000000,6629,3,4000000,6378,16
2018-01-01 00:09:40,4000000,6682,0,4000000,7288,16
2018-01-01 00:09:50,5000000,6683,1,4000000,6959,12
2018-01-01 00:10:00,5000000,7052,0,5000000,6982,17
2018-01-01 00:10:10,4000000,6643,1,4000000,6971,14
2018-01-01 00:10:20,5000000,6914,1,4000000,6634,17
2018-01-01 00:10:30,4000000,6973,1,4000000,7347,17
2018-01-01 00:10:40,5000000,7108,2,4000000,7048,16
2018-01-01 00:10:50,4000000,6633,0,5000000,6846,19
2018-01-01 00:11:00,4000000,6615,1,4000000,6619,18
2018-01-01 00:11:10,5000000,6700,1,4000000,7021,16
2018-01-01 00:11:20,4000000,6918,1,4000000,6907,14
2018-01-01 00:11:30,5000000,6955,0,4000000,7189,13
2018-01-01 00:11:40,4000000,7069,1,4000000,6907,17
2018-01-01 00:11:50,5000000,7037,1,4000000,7267,16
2018-01-01 00:12:00,4000000,6911,1,4000000,7409,15
2018-01-01 00:12:10,4000000,6635,0,5000000,6944,13
2018-01-01 00:12:20,5000000,7658,1,4000000,7713,14
2018-01-01 00:12:30,4000000,6869,0,4000000,7213,17
2018-01-01 00:12:40,5000000,7167,1,4000000,7318,16
2018-01-01 00:12:50,4000000,6683,1,5000000,7107,17
2018-01-01 00:13:00,5000000,7225,2,4000000,7436,16
2018-01-01 00:13:10,4000000,7055,1,4000000,7084,17
2018-01-01 00:13:20,4000000,7079,0,4000000,7065,18
2018-01-01 00:13:30,4000000,8716,0,3000000,8926,5
2018-01-01 00:13:40,5000000,7683,2,5000000,7816,16
2018-01-01 00:13:50,4000000,8206,2,3000000,8198,8
2018-01-01 00:14:00,3000000,12055,1,3000000,11920,1
2018-01-01 00:14:10,3000000,11968,0,3000000,11841,0
2018-01-01 00:14:20,3000000,10348,0,3000000,10497,1
2018-01-01 00:14:30,2000000,12038,1,3000000,11516,0
2018-01-01 00:14:40,3000000,11335,1,3000000,11242,0
2018-01-01 00:14:50,3000000,12552,2,3000000,12467,0
2018-01-01 00:15:00,3000000,12382,1,3000000,12199,0
2018-01-01 00:15:10,3000000,12195,0,3000000,12145,0
2018-01-01 00:15:20,4000000,9063,0,4000000,9124,6
2018-01-01 00:15:30,4000000,9073,0,4000000,8998,11
2018-01-01 00:15:40,5000000,7219,1,5000000,7407,16
2018-01-01 00:15:50,4000000,8699,3,3000000,8693,6
2018-01-01 00:16:00,4000000,8216,1,4000000,8392,9
2018-01-01 00:16:10,5000000,8018,0,5000000,7922,12
2018-01-01 00:16:20,4000000,7200,0,3000000,6941,18
2018-01-01 00:16:30,5000000,7086,0,4000000,7162,17
2018-01-01 00:16:40,4000000,7339,3,5000000,7321,16
2018-01-01 00:16:50,5000000,6798,2,3000000,6947,21
2018-01-01 00:17:00,4000000,7516,0,5000000,7657,16
2018-01-01 00:17:10,5000000,7057,0,4000000,7609,12
2018-01-01 00:17:20,4000000,6971,0,4000000,7091,19
2018-01-01 00:17:30,5000000,7022,2,4000000,6932,15
2018-01-01 00:17:40,5000000,7098,2,4000000,6901,21
2018-01-01 00:17:50,4000000,6677,1,4000000,6972,18
2018-01-01 00:18:00,4000000,7287,0,5000000,7309,14
2018-01-01 00:18:10,5000000,7052,0,4000000,7060,13
2018-01-01 00:18:20,5000000,7358,0,4000000,7290,14
2018-01-01 00:18:30,4000000,6925,1,4000000,6981,15
2018-01-01 00:18:40,5000000,6362,1,4000000,6456,16
2018-01-01 00:18:50,4000000,7259,2,4000000,7246,14
2018-01-01 00:19:00,5000000,7035,0,4000000,6971,12
2018-01-01 00:19:10,4000000,6765,0,5000000,7123,18
2018-01-01 00:19:20,4000000,7156,2,4000000,7072,15
2018-01-01 00:19:30,5000000,7063,1,4000000,7376,13
2018-01-01 00:19:40,4000000,6976,1,4000000,7310,14
2018-01-01 00:19:50,5000000,7137,1,4000000,7065,17
2018-01-01 00:20:00,4000000,6773,0,5000000,6953,18
2018-01-01 00:20:10,4000000,6506,0,3000000,6842,19
2018-01-01 00:20:20,5000000,7327,2,5000000,7294,16
2018-01-01 00:20:30,4000000,6625,1,4000000,7208,17
2018-01-01 00:20:40,5000000,6744,1,4000000,6706,14
2018-01-01 00:20:50,4000000,7464,1,4000000,7776,13
2018-01-01 00:21:00,5000000,7099,0,5000000,7078,15
2018-01-01 00:21:10,4000000,7136,1,4000000,7001,13
2018-01-01 00:21:20,5000000,6850,2,4000000,6916,17
2018-01-01 00:21:30,4000000,7161,0,4000000,7415,13
2018-01-01 00:21:40,5000000,6594,1,4000000,6633,22
2018-01-01 00:21:50,4000000,7124,1,4000000,6809,18
2018-01-01 00:22:00,5000000,7051,1,5000000,7535,12
2018-01-01 00:22:10,4000000,7094,0,4000000,7056,14
2018-01-01 00:22:20,5000000,7015,2,4000000,7393,15
2018-01-01 00:22:30,4000000,7156,0,4000000,7228,14
2018-01-01 00:22:40,4000000,7145,1,4000000,6797,16
2018-01-01 00:22:50,5000000,6870,0,4000000,7171,16
2018-01-01 00:23:00,4000000,6982,2,4000000,7344,16
2018-01-01 00:23:10,5000000,7637,1,5000000,7624,17
2018-01-01 00:23:20,5000000,7347,1,4000000,7617,12
2018-01-01 00:23:30,4000000,6904,0,4000000,6890,18
2018-01-01 00:23:40,4000000,7038,0,4000000,7196,12
2018-01-01 00:23:50,5000000,6740,1,4000000,7128,17
2018-01-01 00:24:00,4000000,7402,3,5000000,7289,16
2018-01-01 00:24:10,5000000,7047,1,4000000,7082,15
2018-01-01 00:24:20,4000000,6814,0,4000000,7052,19
2018-01-01 00:24:30,4000000,6844,0,4000000,6905,19
2018-01-01 00:24:40,5000000,7034,0,4000000,7313,14
2018-01-01 00:24:50,4000000,6960,2,4000000,7119,18
2018-01-01 00:25:00,5000000,6806,2,5000000,6772,14
2018-01-01 00:25:10,4000000,6832,1,4000000,7265,16
2018-01-01 00:25:20,5000000,7076,0,4000000,6942,13
2018-01-01 00:25:30,4000000,7078,0,4000000,7612,14
2018-01-01 00:25:40,5000000,7093,2,5000000,7062,13
2018-01-01 00:25:50,4000000,6982,0,4000000,6918,17
2018-01-01 00:26:00,5000000,6282,0,4000000,6500,21
2018-01-01 00:26:10,4000000,6670,1,4000000,7146,13
2018-01-01 00:26:20,4000000,7085,0,4000000,7405,16
2018-01-01 00:26:30,5000000,6922,1,5000000,7150,20
2018-01-01 00:26:40,4000000,6936,0,4000000,7165,14
2018-01-01 00:26:50,4000000,6673,2,4000000,6968,16
2018-01-01 00:27:00,5000000,7176,2,4000000,7215,12
2018-01-01 00:27:10,4000000,7604,0,4000000,7616,8
2018-01-01 00:27:20,5000000,7358,0,4000000,7197,18
2018-01-01 00:27:30,5000000,6952,1,4000000,7404,17
2018-01-01 00:27:40,4000000,6710,0,4000000,6770,16
2018-01-01 00:27:50,4000000,6947,2,5000000,6947,17
2018-01-01 00:28:00,5000000,6683,2,4000000,7035,17
2018-01-01 00:28:10,4000000,7119,0,4000000,7265,18
2018-01-01 00:28:20,4000000,6832,0,4000000,7050,19
2018-01-01 00:28:30,5000000,7154,1,4000000,7258,15
2018-01-01 00:28:40,4000000,6942,1,5000000,7156,14
2018-01-01 00:28:50,5000000,6953,1,4000000,7000,14
2018-01-01 00:29:00,4000000,6963,1,4000000,7151,17
2018-01-01 00:29:10,4000000,7537,1,4000000,7570,12
2018-01-01 00:29:20,5000000,7798,1,4000000,7925,17
2018-01-01 00:29:30,4000000,6988,1,4000000,7180,15
2018-01-01 00:29:40,4000000,10021,1,3000000,10065,2
2018-01-01 00:29:50,3000000,13198,0,4000000,12921,0
2018-01-01 00:30:00,3000000,12393,0,3000000,12267,0
2018-01-01 00:30:10,4000000,13503,1,3000000,12981,0
2018-01-01 00:30:20,3000000,12712,1,4000000,12446,0
2018-01-01 00:30:30,3000000,13991,1,3000000,13476,0
2018-01-01 00:30:40,3000000,12900,0,3000000,12693,0
2018-01-01 00:30:50,3000000,12445,2,4000000,12099,0
2018-01-01 00:31:00,5000000,7892,0,4000000,7501,9
2018-01-01 00:31:10,4000000,8414,1,4000000,8722,11
2018-01-01 00:31:20,5000000,6879,2,4000000,6803,17
2018-01-01 00:31:30,3000000,9366,0,3000000,9591,1
2018-01-01 00:31:40,5000000,8556,0,5000000,8595,12
2018-01-01 00:31:50,4000000,6996,2,4000000,6975,17
2018-01-01 00:32:00,5000000,7237,1,4000000,7486,17
2018-01-01 00:32:10,4000000,6777,2,4000000,6724,15
2018-01-01 00:32:20,5000000,6961,0,5000000,7356,16
2018-01-01 00:32:30,4000000,7585,0,4000000,7569,20
2018-01-01 00:32:40,5000000,6963,0,4000000,7023,16
2018-01-01 00:32:50,4000000,6462,3,4000000,6546,18
2018-01-01 00:33:00,4000000,6933,0,4000000,7436,12
2018-01-01 00:33:10,5000000,7018,2,4000000,7169,15
2018-01-01 00:33:20,4000000,7064,0,4000000,7037,16
2018-01-01 00:33:30,5000000,7018,0,5000000,7253,16
2018-01-01 00:33:40,4000000,7214,2,4000000,7445,18
2018-01-01 00:33:50,5000000,6701,1,4000000,6776,15
2018-01-01 00:34:00,4000000,6688,0,4000000,6838,13
2018-01-01 00:34:10,5000000,6723,1,4000000,6965,14
2018-01-01 00:34:20,4000000,7418,0,5000000,7524,11
2018-01-01 00:34:30,5000000,6430,1,4000000,6578,15
2018-01-01 00:34:40,4000000,6667,2,4000000,6567,20
2018-01-01 00:34:50,5000000,6902,0,4000000,7579,16
2018-01-01 00:35:00,4000000,7110,0,5000000,7164,17
2018-01-01 00:35:10,4000000,6596,1,4000000,6681,18
2018-01-01 00:35:20,5000000,6822,1,4000000,7267,14
2018-01-01 00:35:30,4000000,7299,1,4000000,7404,16
2018-01-01 00:35:40,5000000,6888,2,4000000,6790,13
2018-01-01 00:35:50,4000000,7018,0,5000000,7102,16
2018-01-01 00:36:00,4000000,6593,1,4000000,6820,15
2018-01-01 00:36:10,5000000,7346,0,4000000,7242,16
2018-01-01 00:36:20,4000000,7454,1,4000000,7592,17
2018-01-01 00:36:30,5000000,7082,3,4000000,7274,16
2018-01-01 00:36:40,4000000,6701,0,4000000,6881,16
2018-01-01 00:36:50,5000000,7259,0,5000000,7699,17
2018-01-01 00:37:00,4000000,6748,1,4000000,6769,10
2018-01-01 00:37:10,5000000,6986,1,4000000,6897,17
2018-01-01 00:37:20,4000000,7145,1,4000000,7358,19
2018-01-01 00:37:30,5000000,6920,2,4000000,7115,11
2018-01-01 00:37:40,4000000,6619,0,4000000,6824,21
2018-01-01 00:37:50,4000000,6864,1,5000000,6973,14
2018-01-01 00:38:00,5000000,7262,0,4000000,7264,13
2018-01-01 00:38:10,4000000,7053,1,4000000,7029,16
2018-01-01 00:38:20,5000000,7206,2,4000000,7304,13
2018-01-01 00:38:30,4000000,6632,1,4000000,6784,15
2018-01-01 00:38:40,5000000,7783,0,5000000,7965,12
2018-01-01 00:38:50,4000000,7251,1,4000000,7408,14
2018-01-01 00:39:00,5000000,7075,0,4000000,7274,16
2018-01-01 00:39:10,4000000,7537,1,4000000,7586,17
2018-01-01 00:39:20,5000000,6920,2,4000000,7175,14
2018-01-01 00:39:30,4000000,7053,0,5000000,7145,15
2018-01-01 00:39:40,4000000,7660,2,4000000,7727,15
2018-01-01 00:39:50,5000000,6692,0,4000000,6719,21
2018-01-01 00:40:00,4000000,7016,1,4000000,7765,17
2018-01-01 00:40:10,5000000,7687,0,4000000,7349,16
2018-01-01 00:40:20,4000000,6855,2,4000000,6956,14
2018-01-01 00:40:30,4000000,7278,2,4000000,7040,10
2018-01-01 00:40:40,5000000,7543,0,5000000,7968,14
2018-01-01 00:40:50,4000000,6521,0,4000000,6516,18
2018-01-01 00:41:00,5000000,7238,1,4000000,7447,10
2018-01-01 00:41:10,4000000,7230,1,4000000,7330,15
2018-01-01 00:41:20,5000000,6676,0,4000000,6962,16
2018-01-01 00:41:30,4000000,6942,3,5000000,7303,15
2018-01-01 00:41:40,5000000,7227,0,4000000,7306,14
2018-01-01 00:41:50,4000000,7167,1,4000000,7230,15
2018-01-01 00:42:00,5000000,6691,0,4000000,7147,17
2018-01-01 00:42:10,4000000,6900,1,5000000,7193,15
2018-01-01 00:42:20,4000000,6986,1,4000000,6997,17
2018-01-01 00:42:30,5000000,6896,0,4000000,7074,17
2018-01-01 00:42:40,4000000,6959,1,4000000,6718,19
2018-01-01 00:42:50,4000000,7109,1,4000000,7336,14
2018-01-01 00:43:00,5000000,6964,0,4000000,7521,13
2018-01-01 00:43:10,4000000,6906,2,4000000,6872,17
2018-01-01 00:43:20,5000000,6883,0,5000000,7265,19
2018-01-01 00:43:30,4000000,7332,1,4000000,7689,15
2018-01-01 00:43:40,5000000,7236,1,4000000,7337,15
2018-01-01 00:43:50,4000000,7039,0,4000000,6838,16
2018-01-01 00:44:00,5000000,7216,1,5000000,7571,13
2018-01-01 00:44:10,4000000,6204,1,4000000,6654,22
2018-01-01 00:44:20,4000000,7092,0,4000000,6782,15
2018-01-01 00:44:30,5000000,7169,2,4000000,7277,10
2018-01-01 00:44:40,4000000,7214,1,4000000,7372,18
2018-01-01 00:44:50,4000000,7271,0,3000000,7054,15
2018-01-01 00:45:00,4000000,7893,1,5000000,8296,6
2018-01-01 00:45:10,5000000,7668,1,4000000,8043,11
2018-01-01 00:45:20,4000000,8288,0,3000000,8248,9
2018-01-01 00:45:30,3000000,12050,2,3000000,12100,1
2018-01-01 00:45:40,4000000,13232,1,4000000,12938,0
2018-01-01 00:45:50,3000000,12493,0,3000000,12363,0
2018-01-01 00:46:00,3000000,13525,1,3000000,13209,0
2018-01-01 00:46:10,3000000,12404,1,4000000,12223,0
2018-01-01 00:46:20,3000000,13555,1,3000000,13017,0
2018-01-01 00:46:30,3000000,12655,2,3000000,12268,0
2018-01-01 00:46:40,4000000,8250,0,4000000,8111,15
2018-01-01 00:46:50,5000000,8631,1,4000000,9064,10
2018-01-01 00:47:00,5000000,7738,1,5000000,7705,19
2018-01-01 00:47:10,3000000,8652,0,3000000,8876,3
2018-01-01 00:47:20,4000000,8231,2,4000000,7914,9
2018-01-01 00:47:30,5000000,8031,1,4000000,8169,17
2018-01-01 00:47:40,5000000,7325,0,4000000,7464,13
2018-01-01 00:47:50,4000000,6885,1,4000000,6824,17
2018-01-01 00:48:00,5000000,7462,1,4000000,7260,13
2018-01-01 00:48:10,4000000,6653,1,4000000,6878,21
2018-01-01 00:48:20,5000000,7177,2,4000000,7129,13
2018-01-01 00:48:30,4000000,6977,0,5000000,7615,17
2018-01-01 00:48:40,5000000,6840,1,4000000,6900,19
2018-01-01 00:48:50,4000000,7324,1,4000000,7252,14
2018-01-01 00:49:00,5000000,7305,0,4000000,7210,15
2018-01-01 00:49:10,5000000,7077,1,5000000,7450,15
2018-01-01 00:49:20,4000000,6956,1,4000000,7227,14
2018-01-01 00:49:30,4000000,7039,1,4000000,7210,14
2018-01-01 00:49:40,5000000,7246,2,4000000,7343,10
