@timestamp,jvm.metrics.memory.heap_memory_usage.committed,jvm.metrics.memory.heap_memory_usage.max,jvm.metrics.memory.heap_memory_usage.used,jvm.metrics.threading.thread_count,jvm.metrics.gc.psms.collection_count,jvm.metrics.gc.psms.collection_time,jvm.metrics.gc.pss.collection_count,jvm.metrics.gc.pss.collection_time
2018-01-01 00:00:00,2058878976,2058878976,705151464,1454,0,0,4,145
2018-01-01 00:01:00,2070413312,2070413312,928070968,1454,0,0,3,114
2018-01-01 00:02:00,2072510464,2072510464,1077337128,1453,0,0,3,109
2018-01-01 00:03:00,2077229056,2077229056,602887272,1453,0,0,4,148
2018-01-01 00:04:00,2082996224,2082996224,717745920,1453,0,0,3,116
2018-01-01 00:05:00,2084044800,2084044800,807807240,1456,0,0,3,116
2018-01-01 00:06:00,2089287680,2089287680,787671376,1455,0,0,3,113
2018-01-01 00:07:00,2079326208,2079326208,1118731048,1762,0,0,3,137
2018-01-01 00:08:00,2052063232,2052063232,818780184,1959,0,0,4,217
2018-01-01 00:09:00,2027945984,2027945984,1034599280,1949,0,0,3,176
2018-01-01 00:10:00,2036858880,2036858880,1044423600,1901,0,0,4,217
2018-01-01 00:11:00,2046296064,2046296064,911763256,1679,0,0,4,201
2018-01-01 00:12:00,2047868928,2047868928,722499680,1678,0,0,4,166
2018-01-01 00:13:00,2051014656,2051014656,1054110040,1678,0,0,3,131
2018-01-01 00:14:00,2058354688,2058354688,762342816,1678,0,0,4,158
2018-01-01 00:15:00,2067267584,2067267584,1013753984,1679,0,0,3,124
2018-01-01 00:16:00,2068840448,2068840448,1199960032,1679,0,0,3,113
2018-01-01 00:17:00,2074607616,2074607616,767311856,1678,0,0,4,157
2018-01-01 00:18:00,2080899072,2080899072,901563304,1678,0,0,3,118
2018-01-01 00:19:00,2082996224,2082996224,1016563760,1678,0,0,3,122
2018-01-01 00:20:00,2084569088,2084569088,1095717488,1681,0,0,3,116
2018-01-01 00:21:00,2075131904,2075131904,1098353944,1679,0,0,3,119
2018-01-01 00:22:00,2087190528,2087190528,1308364592,1824,0,0,3,113
2018-01-01 00:23:00,2063073280,2063073280,1035823688,1939,0,0,4,194
2018-01-01 00:24:00,2035810304,2035810304,1072488456,2038,0,0,3,158
2018-01-01 00:25:00,2021130240,2021130240,1142433768,1950,0,0,4,216
2018-01-01 00:26:00,2047868928,2047868928,872509376,1938,0,0,4,195
2018-01-01 00:27:00,2055208960,2055208960,1185008576,1728,0,0,3,137
2018-01-01 00:28:00,2060451840,2060451840,891582104,1728,0,0,4,176
2018-01-01 00:29:00,2064121856,2064121856,1131330344,1728,0,0,3,131
2018-01-01 00:30:00,2069889024,2069889024,1312714744,1729,0,0,3,118
2018-01-01 00:31:00,2074083328,2074083328,925516192,1729,0,0,4,160
2018-01-01 00:32:00,2076704768,2076704768,1068865216,1728,0,0,3,124
2018-01-01 00:33:00,2081947648,2081947648,1194393720,1728,0,0,3,117
2018-01-01 00:34:00,2082996224,2082996224,1291020568,1728,0,0,3,130
2018-01-01 00:35:00,2033713152,2033713152,560382320,1731,1,921,4,147
2018-01-01 00:36:00,2085093376,2085093376,700504896,935,0,0,3,76
2018-01-01 00:37:00,2080374784,2080374784,705721768,934,0,0,3,92
2018-01-01 00:38:00,2056257536,2056257536,684314648,1279,0,0,4,168
2018-01-01 00:39:00,1989672960,1989672960,640991840,1258,0,0,4,190
2018-01-01 00:40:00,2012741632,2012741632,727658832,1230,0,0,4,193
2018-01-01 00:41:00,2026373120,2026373120,761329888,1250,0,0,4,172
2018-01-01 00:42:00,2033188864,2033188864,663705496,1012,0,0,4,139
2018-01-01 00:43:00,2044198912,2044198912,1043226320,1012,0,0,3,118
