@timestamp,system.diskio.iostat.await,system.diskio.iostat.queue.avg_size,system.diskio.iostat.read.per_sec.bytes,system.diskio.iostat.write.per_sec.bytes
2018-01-01 00:00:00,9.633,0.086,15991,50516
2018-01-01 00:01:00,4.283,0.008,68.679,27968
2018-01-01 00:02:00,34.667,0.059,684.95,35518
2018-01-01 00:03:00,6.174,0.01,0,58478
2018-01-01 00:04:00,14.258,0.039,0,89295
2018-01-01 00:05:00,59.524,0.084,0,34998
2018-01-01 00:06:00,6.353,0.011,0,59448
2018-01-01 00:07:00,5.545,0.009,0,60871
2018-01-01 00:08:00,28.912,0.055,0,60715
2018-01-01 00:09:00,21.504,0.045,0,60218
2018-01-01 00:10:00,6.532,0.012,343.567,60728
2018-01-01 00:11:00,8.583,0.014,0,82652
2018-01-01 00:12:00,7.56,0.013,0,58712
2018-01-01 00:13:00,8.894,0.011,0,10949
2018-01-01 00:14:00,8.146,0.019,0,93344
2018-01-01 00:15:00,8.702,0.019,0,52374
2018-01-01 00:16:00,30.897,0.045,962.228,43762
2018-01-01 00:17:00,8.913,0.014,0,40220
2018-01-01 00:18:00,5.846,0.01,0,39152
2018-01-01 00:19:00,7.18,0.015,0,61294
2018-01-01 00:20:00,6.987,0.009,0,56071
2018-01-01 00:21:00,7.577,0.013,0,60624
2018-01-01 00:22:00,7.45,0.014,342.69,59101
2018-01-01 00:23:00,7.925,0.014,0,61616
2018-01-01 00:24:00,9.068,0.022,0,63536
2018-01-01 00:25:00,8.277,0.014,0,59979
2018-01-01 00:26:00,8.114,0.014,0,61025
2018-01-01 00:27:00,9.98,0.017,0,60437
2018-01-01 00:28:00,39.731,0.069,0,60107
2018-01-01 00:29:00,7.309,0.017,0,63740
2018-01-01 00:30:00,12.244,0.017,0,55096
2018-01-01 00:31:00,7.252,0.015,0,61293
2018-01-01 00:32:00,5.592,0.01,0,42833
2018-01-01 00:33:00,16.024,0.045,20679,42432
2018-01-01 00:34:00,8.594,0.025,4828,44655
2018-01-01 00:35:00,48.412,0.079,0,58458
2018-01-01 00:36:00,6.928,0.011,68.696,59304
2018-01-01 00:37:00,5.957,0.009,0,58343
2018-01-01 00:38:00,6.453,0.011,0,60112
2018-01-01 00:39:00,7.17,0.023,68.843,92306
2018-01-01 00:40:00,14.81,0.021,68.722,58722
