@timestamp,system.network.in.bytes,system.network.in.packets,system.network.in.dropped,system.network.out.bytes,system.network.out.packets,system.network.out.errors
2018-01-01 00:00:00,4000000,7376,1,4000000,7895,6
2018-01-01 00:00:10,4000000,8492,0,4000000,9030,2
2018-01-01 00:00:20,4000000,6561,0,4000000,7044,8
2018-01-01 00:00:30,4000000,6556,2,3000000,7044,6
2018-01-01 00:00:40,4000000,6936,2,4000000,7382,5
2018-01-01 00:00:50,3000000,6612,0,4000000,7157,7
2018-01-01 00:01:00,4000000,6864,1,4000000,7408,2
2018-01-01 00:01:10,4000000,6707,0,4000000,7318,2
2018-01-01 00:01:20,4000000,6955,2,4000000,7383,2
2018-01-01 00:01:30,4000000,7120,2,4000000,7570,2
2018-01-01 00:01:40,4000000,6756,0,3000000,7105,4
2018-01-01 00:01:50,4000000,6787,0,4000000,7497,5
2018-01-01 00:02:00,4000000,6777,1,4000000,7282,4
2018-01-01 00:02:10,4000000,6822,0,4000000,7330,2
2018-01-01 00:02:20,4000000,6891,3,4000000,7179,3
2018-01-01 00:02:30,4000000,7519,0,4000000,7949,4
2018-01-01 00:02:40,4000000,6709,1,4000000,7260,4
2018-01-01 00:02:50,4000000,6695,1,3000000,7304,2
2018-01-01 00:03:00,4000000,7575,0,4000000,7971,2
2018-01-01 00:03:10,4000000,7056,1,4000000,7638,4
2018-01-01 00:03:20,3000000,6441,2,4000000,7070,7
2018-01-01 00:03:30,5000000,7610,1,4000000,8119,3
2018-01-01 00:03:40,3000000,6636,1,4000000,7178,5
2018-01-01 00:03:50,4000000,6608,0,3000000,7128,3
2018-01-01 00:04:00,4000000,7772,0,4000000,8186,1
2018-01-01 00:04:10,4000000,7974,3,4000000,8406,7
2018-01-01 00:04:20,4000000,6537,0,4000000,7324,5
2018-01-01 00:04:30,4000000,8818,0,3000000,9245,1
2018-01-01 00:04:40,4000000,6744,1,4000000,6984,5
2018-01-01 00:04:50,4000000,6315,1,4000000,6984,2
2018-01-01 00:05:00,4000000,7221,1,3000000,7615,6
2018-01-01 00:05:10,4000000,8391,2,4000000,8866,2
2018-01-01 00:05:20,3000000,7443,0,4000000,7812,7
2018-01-01 00:05:30,4000000,8469,0,4000000,8655,2
2018-01-01 00:05:40,4000000,7290,1,3000000,7852,1
2018-01-01 00:05:50,4000000,7014,2,4000000,7606,5
2018-01-01 00:06:00,4000000,6629,0,4000000,7094,7
2018-01-01 00:06:10,4000000,7272,2,4000000,7796,4
2018-01-01 00:06:20,4000000,6910,0,3000000,7227,5
2018-01-01 00:06:30,3000000,6997,1,4000000,7328,1
2018-01-01 00:06:40,4000000,8879,1,3000000,9243,1
2018-01-01 00:06:50,4000000,7156,1,4000000,7690,4
2018-01-01 00:07:00,3000000,8673,2,4000000,8808,8
2018-01-01 00:07:10,4000000,6930,0,3000000,7464,2
2018-01-01 00:07:20,4000000,8167,0,3000000,8517,3
2018-01-01 00:07:30,3000000,7185,1,4000000,7628,2
2018-01-01 00:07:40,4000000,8738,2,4000000,9121,3
2018-01-01 00:07:50,4000000,6494,1,3000000,6967,4
2018-01-01 00:08:00,4000000,8688,1,4000000,8838,2
2018-01-01 00:08:10,4000000,8438,0,4000000,8829,8
2018-01-01 00:08:20,4000000,7003,1,4000000,7486,5
2018-01-01 00:08:30,4000000,10201,0,3000000,9969,5
2018-01-01 00:08:40,4000000,9387,3,4000000,9554,1
2018-01-01 00:08:50,4000000,6919,0,4000000,7719,3
2018-01-01 00:09:00,4000000,10287,1,4000000,10220,1
2018-01-01 00:09:10,4000000,8270,0,3000000,8500,4
2018-01-01 00:09:20,4000000,6879,0,4000000,7267,6
2018-01-01 00:09:30,3000000,9648,3,4000000,9793,1
2018-01-01 00:09:40,4000000,7959,1,4000000,8429,2
2018-01-01 00:09:50,4000000,7049,1,3000000,7510,4
2018-01-01 00:10:00,4000000,9569,0,4000000,9426,4
2018-01-01 00:10:10,4000000,7628,0,4000000,8184,1
2018-01-01 00:10:20,4000000,6914,1,4000000,7235,6
2018-01-01 00:10:30,3000000,9932,2,3000000,10063,3
2018-01-01 00:10:40,4000000,7225,0,4000000,7531,4
2018-01-01 00:10:50,4000000,7226,2,4000000,7845,5
2018-01-01 00:11:00,4000000,9599,0,4000000,9756,2
2018-01-01 00:11:10,4000000,8079,0,3000000,8418,4
2018-01-01 00:11:20,4000000,6886,2,4000000,7382,5
2018-01-01 00:11:30,4000000,6630,0,4000000,7106,7
2018-01-01 00:11:40,4000000,6758,3,4000000,7348,5
2018-01-01 00:11:50,4000000,8372,0,4000000,8722,4
2018-01-01 00:12:00,4000000,6560,0,4000000,7175,3
2018-01-01 00:12:10,4000000,6515,1,4000000,7051,5
2018-01-01 00:12:20,4000000,8458,1,3000000,8547,6
2018-01-01 00:12:30,4000000,8271,1,4000000,8639,3
2018-01-01 00:12:40,4000000,6819,1,4000000,7421,4
2018-01-01 00:12:50,4000000,7185,1,4000000,7663,5
2018-01-01 00:13:00,4000000,7789,1,3000000,8221,5
2018-01-01 00:13:10,4000000,6767,1,4000000,7415,7
2018-01-01 00:13:20,4000000,7516,0,4000000,7973,3
2018-01-01 00:13:30,4000000,7150,1,4000000,7397,5
2018-01-01 00:13:40,4000000,7191,1,4000000,7671,2
