@timestamp,system.network.in.bytes,system.network.in.packets,system.network.in.dropped,system.network.out.bytes,system.network.out.packets,system.network.out.errors
2018-01-01 00:00:00,3000000.0,13038,1,3000000.0,12179,0
2018-01-01 00:00:10,3000000.0,13178,1,4000000.0,12232,0
2018-01-01 00:00:20,4000000.0,12945,1,3000000.0,12161,0
2018-01-01 00:00:30,3000000.0,13850,1,3000000.0,12750,0
2018-01-01 00:00:40,3000000.0,12838,0,4000000.0,11985,0
2018-01-01 00:00:50,3000000.0,12799,1,3000000.0,11980,0
2018-01-01 00:01:00,3000000.0,12681,1,3000000.0,11806,0
2018-01-01 00:01:10,3000000.0,12743,1,3000000.0,12018,0
2018-01-01 00:01:20,4000000.0,8619,1,4000000.0,8915,4
2018-01-01 00:01:30,4000000.0,6562,1,4000000.0,7141,3
2018-01-01 00:01:40,4000000.0,6551,0,4000000.0,7116,3
2018-01-01 00:01:50,4000000.0,6655,1,4000000.0,7157,6
2018-01-01 00:02:00,4000000.0,6637,1,3000000.0,7092,2
2018-01-01 00:02:10,4000000.0,6675,2,4000000.0,7178,6
2018-01-01 00:02:20,3000000.0,6428,0,4000000.0,6992,6
2018-01-01 00:02:30,4000000.0,6802,1,4000000.0,7454,9
2018-01-01 00:02:40,4000000.0,6749,1,4000000.0,7244,5
2018-01-01 00:02:50,4000000.0,6809,1,4000000.0,7297,5
2018-01-01 00:03:00,4000000.0,6694,0,4000000.0,7087,7
2018-01-01 00:03:10,4000000.0,6738,1,4000000.0,7177,3
2018-01-01 00:03:20,4000000.0,6535,1,3000000.0,7160,4
2018-01-01 00:03:30,4000000.0,6632,0,4000000.0,7089,8
2018-01-01 00:03:40,4000000.0,6744,1,4000000.0,7126,5
2018-01-01 00:03:50,4000000.0,6468,1,4000000.0,7105,4
2018-01-01 00:04:00,4000000.0,6739,1,4000000.0,7218,5
2018-01-01 00:04:10,4000000.0,6741,1,4000000.0,7312,6
2018-01-01 00:04:20,4000000.0,6704,1,4000000.0,7330,3
2018-01-01 00:04:30,4000000.0,6787,0,3000000.0,7231,9
2018-01-01 00:04:40,4000000.0,6647,0,4000000.0,7000,4
2018-01-01 00:04:50,4000000.0,6693,1,4000000.0,7045,4
2018-01-01 00:05:00,4000000.0,6820,1,4000000.0,6961,4
2018-01-01 00:05:10,3000000.0,6593,0,4000000.0,7050,4
2018-01-01 00:05:20,4000000.0,6612,3,4000000.0,7250,3
2018-01-01 00:05:30,4000000.0,6523,0,3000000.0,7077,4
2018-01-01 00:05:40,4000000.0,6507,0,4000000.0,7052,3
2018-01-01 00:05:50,4000000.0,6866,0,4000000.0,7386,4
2018-01-01 00:06:00,4000000.0,6740,1,4000000.0,7242,6
2018-01-01 00:06:10,4000000.0,6669,0,4000000.0,7145,6
2018-01-01 00:06:20,4000000.0,6473,3,3000000.0,7036,3
2018-01-01 00:06:30,4000000.0,6327,0,4000000.0,7030,3
2018-01-01 00:06:40,4000000.0,6713,1,4000000.0,7028,4
2018-01-01 00:06:50,4000000.0,6525,1,4000000.0,7066,4
2018-01-01 00:07:00,3000000.0,6476,0,4000000.0,6993,2
2018-01-01 00:07:10,4000000.0,6563,3,3000000.0,7121,2
2018-01-01 00:07:20,4000000.0,6586,0,4000000.0,7083,2
2018-01-01 00:07:30,4000000.0,6726,0,4000000.0,7103,7
2018-01-01 00:07:40,4000000.0,6380,1,4000000.0,7220,4
2018-01-01 00:07:50,4000000.0,6591,0,4000000.0,7035,7
2018-01-01 00:08:00,4000000.0,6558,2,3000000.0,7106,6
2018-01-01 00:08:10,4000000.0,6615,2,4000000.0,6836,7
2018-01-01 00:08:20,4000000.0,6614,1,4000000.0,7346,4
2018-01-01 00:08:30,4000000.0,6569,0,4000000.0,7056,5
2018-01-01 00:08:40,4000000.0,6638,0,4000000.0,7264,4
2018-01-01 00:08:50,4000000.0,6704,0,4000000.0,7308,4
2018-01-01 00:09:00,4000000.0,6666,2,3000000.0,7012,6
2018-01-01 00:09:10,3000000.0,6699,1,4000000.0,7287,4
2018-01-01 00:09:20,4000000.0,6666,1,4000000.0,7056,6
2018-01-01 00:09:30,4000000.0,6577,0,4000000.0,7147,3
2018-01-01 00:09:40,4000000.0,6731,0,4000000.0,7232,1
2018-01-01 00:09:50,4000000.0,6621,0,4000000.0,7082,4
2018-01-01 00:10:00,4000000.0,6740,3,4000000.0,7071,4
2018-01-01 00:10:10,4000000.0,6691,1,4000000.0,7328,2
2018-01-01 00:10:20,4000000.0,6721,1,3000000.0,7005,7
2018-01-01 00:10:30,4000000.0,6753,0,4000000.0,7092,3
2018-01-01 00:10:40,4000000.0,6599,0,4000000.0,7186,2
2018-01-01 00:10:50,4000000.0,6759,0,4000000.0,7065,9
2018-01-01 00:11:00,4000000.0,6527,3,4000000.0,7083,7
2018-01-01 00:11:10,4000000.0,6888,1,3000000.0,6981,6
2018-01-01 00:11:20,4000000.0,6673,0,4000000.0,7372,3
2018-01-01 00:11:30,4000000.0,6739,1,4000000.0,7078,8
2018-01-01 00:11:40,4000000.0,6595,0,4000000.0,7027,5
2018-01-01 00:11:50,4000000.0,6605,3,4000000.0,7134,3
2018-01-01 00:12:00,4000000.0,6692,0,4000000.0,7021,7
2018-01-01 00:12:10,3000000.0,6557,1,3000000.0,6907,2
2018-01-01 00:12:20,4000000.0,6785,0,4000000.0,7153,7
2018-01-01 00:12:30,4000000.0,6684,1,4000000.0,7256,3
2018-01-01 00:12:40,4000000.0,6565,1,4000000.0,7137,4
2018-01-01 00:12:50,4000000.0,6656,1,4000000.0,6924,6
2018-01-01 00:13:00,4000000.0,6612,1,3000000.0,7086,4
2018-01-01 00:13:10,4000000.0,6679,1,4000000.0,7259,4
2018-01-01 00:13:20,4000000.0,6721,0,4000000.0,7346,2
2018-01-01 00:13:30,4000000.0,6652,2,4000000.0,7028,2
2018-01-01 00:13:40,4000000.0,6532,0,4000000.0,7156,3
2018-01-01 00:13:50,4000000.0,6634,1,4000000.0,7180,4
2018-01-01 00:14:00,3000000.0,7153,2,3000000.0,7873,1
2018-01-01 00:14:10,4000000.0,6863,0,3000000.0,7474,2
2018-01-01 00:14:20,4000000.0,6861,1,4000000.0,7148,3
2018-01-01 00:14:30,4000000.0,6803,1,4000000.0,7049,3
2018-01-01 00:14:40,4000000.0,6481,1,3000000.0,6963,5
2018-01-01 00:14:50,4000000.0,8784,0,4000000.0,8733,1
2018-01-01 00:15:00,4000000.0,6797,1,4000000.0,7203,8
2018-01-01 00:15:10,3000000.0,9687,0,3000000.0,9521,5
2018-01-01 00:15:20,3000000.0,13070,1,4000000.0,12436,0
2018-01-01 00:15:30,4000000.0,13388,1,3000000.0,12577,0
2018-01-01 00:15:40,3000000.0,11784,2,4000000.0,11287,1
2018-01-01 00:15:50,3000000.0,12677,1,3000000.0,12046,0
2018-01-01 00:16:00,3000000.0,13067,0,3000000.0,12335,0
2018-01-01 00:16:10,5000000.0,8238,1,4000000.0,8509,3
2018-01-01 00:16:20,4000000.0,7776,0,4000000.0,8066,4
2018-01-01 00:16:30,3000000.0,10098,0,3000000.0,9926,2
2018-01-01 00:16:40,4000000.0,9481,4,4000000.0,9643,0
2018-01-01 00:16:50,3000000.0,12542,0,3000000.0,11850,0
2018-01-01 00:17:00,3000000.0,13038,0,4000000.0,12246,0
2018-01-01 00:17:10,3000000.0,13369,1,3000000.0,12599,0
2018-01-01 00:17:20,4000000.0,8895,0,4000000.0,9082,4
2018-01-01 00:17:30,4000000.0,6720,3,4000000.0,7046,4
2018-01-01 00:17:40,4000000.0,6532,0,3000000.0,7064,4
2018-01-01 00:17:50,4000000.0,6658,1,4000000.0,7337,4
2018-01-01 00:18:00,4000000.0,6587,1,4000000.0,6892,4
2018-01-01 00:18:10,4000000.0,6811,0,4000000.0,7094,4
2018-01-01 00:18:20,4000000.0,6728,1,4000000.0,7410,3
2018-01-01 00:18:30,4000000.0,6678,2,4000000.0,7044,7
2018-01-01 00:18:40,4000000.0,6560,0,3000000.0,6980,4
2018-01-01 00:18:50,4000000.0,6666,0,4000000.0,7023,3
2018-01-01 00:19:00,4000000.0,6611,2,4000000.0,6988,6
2018-01-01 00:19:10,4000000.0,6697,1,4000000.0,7127,6
2018-01-01 00:19:20,3000000.0,6419,0,4000000.0,7083,5
2018-01-01 00:19:30,4000000.0,6540,1,3000000.0,7013,4
2018-01-01 00:19:40,4000000.0,6685,1,4000000.0,7241,4
2018-01-01 00:19:50,4000000.0,6488,1,4000000.0,7074,1
2018-01-01 00:20:00,4000000.0,6618,1,4000000.0,7127,6
2018-01-01 00:20:10,4000000.0,6787,1,4000000.0,7311,7
2018-01-01 00:20:20,4000000.0,6535,1,4000000.0,7057,4
2018-01-01 00:20:30,4000000.0,6438,0,3000000.0,6866,6
2018-01-01 00:20:40,4000000.0,6746,1,4000000.0,7206,4
2018-01-01 00:20:50,4000000.0,6595,1,4000000.0,7066,5
