@timestamp,jvm.metrics.memory.heap_memory_usage.committed,jvm.metrics.memory.heap_memory_usage.max,jvm.metrics.memory.heap_memory_usage.used,jvm.metrics.threading.thread_count,jvm.metrics.gc.psms.collection_count,jvm.metrics.gc.psms.collection_time,jvm.metrics.gc.pss.collection_count,jvm.metrics.gc.pss.collection_time,label
2018-01-01 00:00:00,1959264256.0,1959264256.0,536266920.0,961.0,0,0,2,125,0
2018-01-01 00:01:00,1908932608.0,1908932608.0,457645496.0,1134.0,0,0,4,325,0
2018-01-01 00:02:00,1919942656.0,1919942656.0,462895664.0,1102.0,0,0,4,141,0
2018-01-01 00:03:00,1952972800.0,1952972800.0,662337336.0,937.0,0,0,3,119,0
2018-01-01 00:04:00,1959788544.0,1959788544.0,712203016.0,938.0,0,0,3,131,0
2018-01-01 00:05:00,1987051520.0,1987051520.0,642082928.0,938.0,0,0,3,123,0
2018-01-01 00:06:00,1990721536.0,1990721536.0,473614240.0,937.0,0,0,3,104,0
2018-01-01 00:07:00,1994915840.0,1994915840.0,677117600.0,937.0,0,0,2,85,0
2018-01-01 00:08:00,2005401600.0,2005401600.0,833871208.0,937.0,0,0,2,67,0
2018-01-01 00:09:00,2025324544.0,2025324544.0,529566792.0,938.0,0,0,3,94,0
2018-01-01 00:10:00,2037907456.0,2037907456.0,636345784.0,938.0,0,0,2,88,0
2018-01-01 00:11:00,2047344640.0,2047344640.0,658847392.0,937.0,0,0,2,79,0
2018-01-01 00:12:00,2055733248.0,2055733248.0,659633128.0,937.0,0,0,2,83,0
2018-01-01 00:13:00,2063073280.0,2063073280.0,627419728.0,937.0,0,0,2,82,0
2018-01-01 00:14:00,2067791872.0,2067791872.0,560603480.0,940.0,0,0,2,90,0
2018-01-01 00:15:00,2058878976.0,2058878976.0,646162872.0,1087.0,0,0,2,85,0
2018-01-01 00:16:00,2043674624.0,2043674624.0,758206160.0,1303.0,0,0,2,116,0
2018-01-01 00:17:00,2014314496.0,2014314496.0,570594480.0,1216.0,0,0,3,158,0
2018-01-01 00:18:00,2038956032.0,2038956032.0,533136448.0,1178.0,0,0,2,90,0
2018-01-01 00:19:00,2044198912.0,2044198912.0,553212088.0,988.0,0,0,2,91,0
2018-01-01 00:20:00,2051014656.0,2051014656.0,534337248.0,988.0,0,0,2,83,0
2018-01-01 00:21:00,2054684672.0,2054684672.0,492386000.0,987.0,0,0,2,78,0
